abomination
antisocial
attack
atrocity
breach
break
caper
case
cop
cops
corruption
crime
criminal
criminality
death
delict
delictum
delinquency
delinquent
depravity
dereliction
enormity
evil
evil behavior
fault
felony
hit
hurt
illegality
immorality
infraction
infringement
iniquity
job
kill
lawlessness
malefaction
malfeasance
misconduct
misdeed
misdemeanor
mortal
outrage
police
racket
scandal
sin
sneak
stab
tort
transgression
trespass
unlawful act
vice
villainy
violation
violence
violent
wickedness
wound
wrong
wrongdoing
